price,surface,bedrooms,restrooms,Aire acondicionado,Ascensor,Bajos,Balcón,Calefacción,Parking,Piscina,Terraza,location_mean_price
490.0,70,1,1,0,0,1,0,0,0,0,0,1080.93
1000.0,95,3,2,0,1,0,0,0,0,0,0,1080.93
450.0,55,2,1,0,0,1,0,0,0,0,1,1080.93
900.0,120,4,2,0,1,0,0,0,0,0,0,1080.93
600.0,80,3,1,0,1,0,0,0,0,0,0,1080.93
800.0,110,3,2,0,1,0,0,0,0,0,0,1080.93
700.0,115,4,2,0,1,0,0,0,0,0,0,1080.93
650.0,100,4,1,0,0,0,0,0,0,0,0,1080.93
495.0,100,4,1,0,0,0,0,0,0,0,0,1080.93
495.0,105,3,1,0,1,0,0,0,0,0,0,1080.93
700.0,50,1,1,0,1,0,0,0,0,0,0,1080.93
650.0,64,2,1,0,1,0,0,0,0,0,0,1080.93
630.0,65,2,1,0,1,0,0,0,0,0,0,1080.93
900.0,130,4,2,0,1,0,0,0,0,0,0,1080.93
700.0,60,1,1,0,1,0,0,0,0,0,0,1080.93
650.0,91,3,2,0,1,0,0,0,0,0,0,1080.93
650.0,100,3,2,0,1,0,0,0,0,0,0,1080.93
1000.0,100,3,2,0,1,0,0,0,0,0,0,1080.93
600.0,86,3,1,0,0,0,0,0,0,0,0,1080.93
600.0,100,3,1,0,0,0,0,0,0,0,0,1080.93
1000.0,120,3,2,0,1,0,0,0,0,0,0,1080.93
600.0,80,3,1,0,1,0,0,0,0,0,0,1080.93
615.0,70,2,1,0,0,0,0,1,0,0,0,1080.93
550.0,65,1,1,0,1,0,0,0,1,0,0,1080.93
680.0,80,2,1,0,1,0,0,0,0,0,1,1080.93
680.0,80,2,1,0,0,0,0,1,0,0,1,1080.93
600.0,84,3,1,0,0,0,0,0,0,0,0,1080.93
600.0,60,3,1,0,0,0,0,0,0,0,0,1080.93
1500.0,158,4,4,0,1,0,0,0,0,0,1,1080.93
650.0,90,3,2,0,1,0,0,0,1,0,0,1080.93
420.0,51,2,1,0,0,0,0,0,0,0,1,1080.93
400.0,74,2,1,0,0,0,0,1,0,0,0,1080.93
680.0,80,2,1,0,1,0,0,0,0,0,0,1080.93
1000.0,112,3,2,0,1,0,0,1,0,0,0,1080.93
800.0,77,2,2,0,1,0,0,0,1,0,0,1080.93
600.0,70,3,1,0,1,0,0,0,0,0,0,1080.93
800.0,74,3,1,0,1,0,0,0,0,0,0,1080.93
750.0,65,3,1,0,0,0,1,0,0,0,0,1080.93
725.0,82,2,2,0,1,0,0,0,0,0,0,1080.93
675.0,39,1,1,0,1,0,0,0,0,0,0,1080.93
600.0,89,3,1,0,0,0,1,0,0,0,0,1080.93
575.0,70,2,2,0,1,0,0,0,0,0,0,1080.93
650.0,100,4,2,0,1,0,0,0,0,0,0,1080.93
1300.0,154,3,3,0,1,0,0,1,0,0,0,1080.93
1650.0,261,4,3,0,1,0,0,1,0,0,0,1080.93
800.0,85,2,2,0,0,0,0,1,0,0,0,1080.93
700.0,112,4,2,0,1,0,0,0,0,0,0,1080.93
500.0,45,1,1,0,1,0,0,1,0,0,0,1080.93
650.0,65,2,1,0,1,0,0,1,0,0,0,1080.93
1080.93,55,1,1,0,1,0,0,1,0,0,0,1080.93
700.0,81,2,2,0,1,0,0,0,0,0,0,1080.93
630.0,70,2,2,0,1,0,0,0,0,0,0,1080.93
650.0,70,3,1,0,0,0,0,0,0,0,0,1080.93
700.0,87,4,2,0,0,0,0,0,0,0,0,1080.93
580.0,90,3,1,0,1,0,0,1,0,0,0,1080.93
800.0,129,4,2,0,1,0,0,0,0,0,0,1080.93
530.0,97,3,1,0,1,0,0,0,0,0,0,1080.93
950.0,110,4,2,0,0,0,0,1,0,0,0,1080.93
690.0,88,3,2,0,1,0,0,0,0,0,0,1080.93
800.0,101,3,2,0,1,0,0,0,0,0,0,1080.93
500.0,43,1,1,0,1,0,0,0,0,0,0,1080.93
450.0,80,3,1,0,0,0,0,0,0,0,0,1080.93
750.0,44,1,1,0,1,0,0,0,0,0,0,1080.93
650.0,115,4,2,0,1,0,0,0,0,0,0,1080.93
800.0,80,2,1,0,1,0,0,1,0,0,0,1080.93
550.0,70,3,1,0,1,0,0,0,0,0,0,1080.93
650.0,50,1,1,0,1,0,0,1,0,0,0,1080.93
850.0,65,2,2,0,1,0,0,1,0,0,0,1080.93
600.0,80,3,1,0,1,0,0,1,0,0,0,1080.93
525.0,55,1,1,0,1,0,0,0,0,0,1,1080.93
520.0,70,3,1,0,1,0,0,0,0,0,0,1080.93
700.0,65,2,2,0,0,0,0,1,0,0,0,1080.93
480.0,75,2,1,0,1,0,0,0,0,0,0,1080.93
450.0,84,3,1,0,0,0,0,0,0,0,0,1080.93
720.0,65,2,2,0,1,0,0,0,0,0,1,1080.93
650.0,70,2,1,0,1,0,0,1,0,0,0,1080.93
1100.0,94,3,2,0,1,0,0,0,0,0,0,1080.93
500.0,84,3,1,0,0,0,0,0,0,0,0,1080.93
950.0,97,2,2,0,1,0,1,0,0,0,0,1080.93
580.0,50,1,1,0,1,0,0,1,0,0,0,1080.93
500.0,75,3,1,0,0,0,0,0,0,0,0,1080.93
550.0,90,3,2,0,1,0,0,0,0,0,0,1080.93
350.0,82,3,1,0,0,0,0,0,0,0,0,1080.93
